_start,_end,_type
40,0,belongTo
41,0,belongTo
42,1,belongTo
43,2,belongTo
44,0,belongTo
45,3,belongTo
46,0,belongTo
47,4,belongTo
48,3,belongTo
49,5,belongTo
50,1,belongTo
51,6,belongTo
52,2,belongTo
53,5,belongTo
54,1,belongTo
55,1,belongTo
56,2,belongTo
57,2,belongTo
58,4,belongTo
59,5,belongTo
60,4,belongTo
61,6,belongTo
62,6,belongTo
63,5,belongTo
64,6,belongTo
65,6,belongTo
66,5,belongTo
67,7,belongTo
68,2,belongTo
69,7,belongTo
70,6,belongTo
71,5,belongTo
72,2,belongTo
73,3,belongTo
74,6,belongTo
75,6,belongTo
76,8,belongTo
77,4,belongTo
78,2,belongTo
79,3,belongTo
80,2,belongTo
81,8,belongTo
82,3,belongTo
83,9,belongTo
84,2,belongTo
85,10,belongTo
86,11,belongTo
87,0,belongTo
88,11,belongTo
89,1,belongTo
90,11,belongTo
91,12,belongTo
92,11,belongTo
93,13,belongTo
94,12,belongTo
95,12,belongTo
96,14,belongTo
97,11,belongTo
98,15,belongTo
99,1,belongTo
100,2,belongTo
101,12,belongTo
102,12,belongTo
103,15,belongTo
104,16,belongTo
105,15,belongTo
106,17,belongTo
107,12,belongTo
108,16,belongTo
109,17,belongTo
110,16,belongTo
111,18,belongTo
112,16,belongTo
113,19,belongTo
114,3,belongTo
115,0,belongTo
116,16,belongTo
117,13,belongTo
118,9,belongTo
119,3,belongTo
120,3,belongTo
121,3,belongTo
122,20,belongTo
123,14,belongTo
124,17,belongTo
125,15,belongTo
126,21,belongTo
127,3,belongTo
128,1,belongTo
129,15,belongTo
130,22,belongTo
131,0,belongTo
132,9,belongTo
133,2,belongTo
134,19,belongTo
135,13,belongTo
136,6,belongTo
137,23,belongTo
138,12,belongTo
139,0,belongTo
140,16,belongTo
141,15,belongTo
142,24,belongTo
143,7,belongTo
144,0,belongTo
145,14,belongTo
146,2,belongTo
147,17,belongTo
148,15,belongTo
149,17,belongTo
150,15,belongTo
151,15,belongTo
152,17,belongTo
153,18,belongTo
154,25,belongTo
155,9,belongTo
156,12,belongTo
157,16,belongTo
158,10,belongTo
159,25,belongTo
160,2,belongTo
161,3,belongTo
162,16,belongTo
163,9,belongTo
164,22,belongTo
165,23,belongTo
166,14,belongTo
167,23,belongTo
168,14,belongTo
169,26,belongTo
170,13,belongTo
180,6,belongTo
181,6,belongTo
182,6,belongTo
183,15,belongTo
184,9,belongTo
185,5,belongTo
186,5,belongTo
187,2,belongTo
188,16,belongTo
189,3,belongTo
190,16,belongTo
191,15,belongTo
192,25,belongTo
193,16,belongTo
194,15,belongTo
195,22,belongTo
196,27,belongTo
197,14,belongTo
198,18,belongTo
199,18,belongTo
200,18,belongTo
201,2,belongTo
202,18,belongTo
203,3,belongTo
204,3,belongTo
205,15,belongTo
206,10,belongTo
207,28,belongTo
208,19,belongTo
209,15,belongTo
210,15,belongTo
211,20,belongTo
212,9,belongTo
213,16,belongTo
214,16,belongTo
215,25,belongTo
216,22,belongTo
217,10,belongTo
218,15,belongTo
219,14,belongTo
220,26,belongTo
221,15,belongTo
222,15,belongTo
223,10,belongTo
224,28,belongTo
225,9,belongTo
226,15,belongTo
227,26,belongTo
228,14,belongTo
229,11,belongTo
230,10,belongTo
231,29,belongTo
232,6,belongTo
233,6,belongTo
234,6,belongTo
235,6,belongTo
236,4,belongTo
237,4,belongTo
238,5,belongTo
239,6,belongTo
240,4,belongTo
241,11,belongTo
242,11,belongTo
243,27,belongTo
244,25,belongTo
245,3,belongTo
246,28,belongTo
247,15,belongTo
248,15,belongTo
249,15,belongTo
250,15,belongTo
251,9,belongTo
252,9,belongTo
253,9,belongTo
254,9,belongTo
255,9,belongTo
256,9,belongTo
257,9,belongTo
258,9,belongTo
259,9,belongTo
260,9,belongTo
261,9,belongTo
262,9,belongTo
263,9,belongTo
264,9,belongTo
265,9,belongTo
266,9,belongTo
267,9,belongTo
268,9,belongTo
269,9,belongTo
270,9,belongTo
271,9,belongTo
272,9,belongTo
273,9,belongTo
274,9,belongTo
275,9,belongTo
276,9,belongTo
277,9,belongTo
278,4,belongTo
279,2,belongTo
280,1,belongTo
281,11,belongTo
282,29,belongTo
283,15,belongTo
284,29,belongTo
285,14,belongTo
286,2,belongTo
287,30,belongTo
288,12,belongTo
289,14,belongTo
290,23,belongTo
291,25,belongTo
292,11,belongTo
293,29,belongTo
294,29,belongTo
295,2,belongTo
296,11,belongTo
297,11,belongTo
298,3,belongTo
299,28,belongTo
300,3,belongTo
301,30,belongTo
171,5,belongTo
172,5,belongTo
173,5,belongTo
174,22,belongTo
175,22,belongTo
176,4,belongTo
177,4,belongTo
302,1,belongTo
303,1,belongTo
304,26,belongTo
305,3,belongTo
306,12,belongTo
307,3,belongTo
308,28,belongTo
309,29,belongTo
310,29,belongTo
311,10,belongTo
312,10,belongTo
313,28,belongTo
314,14,belongTo
315,14,belongTo
316,14,belongTo
317,10,belongTo
318,29,belongTo
319,29,belongTo
320,29,belongTo
321,29,belongTo
322,29,belongTo
323,29,belongTo
324,29,belongTo
325,29,belongTo
326,13,belongTo
327,10,belongTo
328,10,belongTo
329,10,belongTo
330,7,belongTo
331,10,belongTo
332,10,belongTo
333,10,belongTo
334,3,belongTo
335,14,belongTo
336,14,belongTo
337,5,belongTo
338,5,belongTo
339,2,belongTo
340,2,belongTo
341,25,belongTo
342,25,belongTo
343,25,belongTo
344,14,belongTo
345,14,belongTo
346,14,belongTo
347,29,belongTo
348,31,belongTo
178,4,belongTo
179,4,belongTo
349,11,belongTo
350,4,belongTo
351,4,belongTo
352,21,belongTo
353,12,belongTo
354,12,belongTo
355,12,belongTo
356,12,belongTo
1,369,comeFrom
27,369,comeFrom
2407,389,belongTo
2408,1,belongTo
2409,9,belongTo
2410,4,belongTo
2411,20,belongTo
2412,1,belongTo
2413,27,belongTo
2414,389,belongTo
2415,1,belongTo
2416,389,belongTo
2417,1,belongTo
2418,20,belongTo
2419,27,belongTo
2420,9,belongTo
2421,3,belongTo
2422,1,belongTo
2423,10,belongTo
2424,10,belongTo
2425,1,belongTo
2473,3,belongTo
2474,409,belongTo
2475,20,belongTo
2476,27,belongTo
2477,3,belongTo
2478,9,belongTo
2479,389,belongTo
2480,20,belongTo
2481,3,belongTo
2482,410,belongTo
2483,411,belongTo
2484,412,belongTo
2485,1,belongTo
2486,9,belongTo
2487,29,belongTo
2488,389,belongTo
2489,410,belongTo
2490,4,belongTo
2491,4,belongTo
2492,17,belongTo
2493,20,belongTo
2494,1,belongTo
2495,413,belongTo
2496,414,belongTo
2497,410,belongTo
2498,415,belongTo
2499,9,belongTo
2500,17,belongTo
2501,27,belongTo
2502,27,belongTo
2503,15,belongTo
2504,9,belongTo
2505,1,belongTo
2506,409,belongTo
2507,27,belongTo
2508,10,belongTo
2509,29,belongTo
2510,27,belongTo
2511,15,belongTo
2512,413,belongTo
2513,3,belongTo
2514,20,belongTo
2515,9,belongTo
2516,410,belongTo
2517,389,belongTo
2518,1,belongTo
2519,10,belongTo
2520,389,belongTo
2521,416,belongTo
2522,409,belongTo
2523,411,belongTo
2524,417,belongTo
2525,413,belongTo
2526,3,belongTo
2527,29,belongTo
2528,1,belongTo
2529,3,belongTo
2530,410,belongTo
2531,389,belongTo
2532,9,belongTo
2533,418,belongTo
2534,416,belongTo
2535,27,belongTo
2536,20,belongTo
2537,419,belongTo
2538,9,belongTo
2539,29,belongTo
2540,417,belongTo
2541,27,belongTo
2492,412,belongTo
2542,27,belongTo
2543,9,belongTo
2544,4,belongTo
2545,413,belongTo
2546,1,belongTo
2547,3,belongTo
2548,4,belongTo
2549,418,belongTo
2550,4,belongTo
2551,389,belongTo
2552,3,belongTo
2553,4,belongTo
2554,409,belongTo
2555,419,belongTo
2556,15,belongTo
2557,9,belongTo
2558,1,belongTo
2559,410,belongTo
2560,29,belongTo
2561,9,belongTo
2562,29,belongTo
2563,27,belongTo
2564,4,belongTo
2565,389,belongTo
2566,389,belongTo
2567,9,belongTo
2568,413,belongTo
2569,9,belongTo
2570,389,belongTo
2571,389,belongTo
2572,10,belongTo
2573,4,belongTo
2574,4,belongTo
2575,4,belongTo
2576,27,belongTo
2577,419,belongTo
2578,20,belongTo
2579,414,belongTo
2580,389,belongTo
2581,9,belongTo
2582,389,belongTo
2583,3,belongTo
2584,27,belongTo
2585,389,belongTo
2586,1,belongTo
2587,10,belongTo
2588,1,belongTo
2589,3,belongTo
2590,419,belongTo
2591,29,belongTo
2592,389,belongTo
2410,420,belongTo
2593,1,belongTo
2594,409,belongTo
2595,413,belongTo
2596,413,belongTo
2597,3,belongTo
2598,419,belongTo
2599,410,belongTo
2600,410,belongTo
2601,1,belongTo
2602,2594,oneOf
2603,2594,oneOf
2604,2594,oneOf
2605,2594,oneOf
2606,2594,oneOf
2607,2594,oneOf
2608,2594,oneOf
2609,2594,oneOf
2610,2594,oneOf
2984,20,belongTo
2985,413,belongTo
2613,389,belongTo
2614,410,belongTo
2615,3,belongTo
2616,15,belongTo
2617,15,belongTo
2618,20,belongTo
2619,410,belongTo
2620,20,belongTo
2621,29,belongTo
2622,410,belongTo
2623,2407,oneOf
2624,2408,oneOf
2625,2409,oneOf
2626,2410,oneOf
2627,2410,oneOf
2628,2411,oneOf
2629,2412,oneOf
2630,2411,oneOf
2631,2413,oneOf
2632,2414,oneOf
2633,2415,oneOf
2634,2416,oneOf
2635,2409,oneOf
2636,2414,oneOf
2637,2417,oneOf
2638,2411,oneOf
